DISTINCT_SONG_COUNT    CLIENT_COUNT
351,    16
327,    11
369,    7
333,    16
357,    17
305,    5
346,    22
326,    9
348,    26
344,    24
371,    4
362,    22
325,    7
343,    21
345,    18
341,    18
354,    29
334,    21
321,    13
281,    1
323,    11
350,    27
347,    35
365,    8
352,    29
338,    26
339,    16
360,    18
303,    2
355,    19
370,    5
373,    8
374,    2
356,    14
349,    18
361,    13
320,    6
331,    14
358,    27
364,    14
367,    9
340,    14
377,    8
328,    16
322,    14
330,    19
359,    13
317,    9
336,    24
388,    1
335,    22
368,    10
372,    4
324,    8
310,    4
312,    3
318,    9
306,    5
392,    1
353,    16
316,    5
337,    24
363,    8
319,    10
389,    3
329,    17
378,    3
314,    4
307,    3
301,    2
386,    1
332,    13
313,    3
342,    19
302,    2
384,    2
311,    1
381,    3
304,    1
308,    5
387,    3
376,    4
379,    2
366,    4
309,    3
382,    4
300,    2
315,    6
375,    5
299,    1
385,    2
298,    1
391,    1
390,    1
383,    1
293,    1
393,    1
